id,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
ARE,0.65408,0.25123280000000003,199167.24,0.628842,0.0072762558,4.68,0.16140000000000002,-6.988020000000001,0.58,0.085892,113.76522000000001,3.94,0.48336399999999996
ARG,0.75366,0.2438954,177751.36,0.67316,8.85008e-05,5.76,0.19993199999999997,-5.41558,0.52,0.11089600000000001,114.4509,3.96,0.6528400000000001
AUS,0.6385000000000001,0.26689276,203438.82,0.624702,0.0117334476,4.58,0.18447400000000003,-7.1488,0.7,0.08006,122.74546000000001,3.86,0.485404
AUT,0.67514,0.2868476,178215.84,0.64562,0.045436871999999996,4.7,0.171244,-7.15874,0.56,0.11825800000000002,123.67388,3.9,0.46914
BEL,0.63708,0.32253659999999995,191302.48,0.661182,0.0362466538,5.28,0.15854200000000002,-6.560779999999999,0.44,0.077644,126.51136000000001,3.9,0.48798
BGR,0.71274,0.155696,194736.22,0.77266,0.0030909152,4.84,0.16597,-5.24894,0.28,0.145256,133.2123,3.88,0.60346
BLR,0.6798000000000001,0.20036646000000002,161856.48,0.6575,0.053416260400000005,5.16,0.193334,-6.495439999999999,0.42,0.124164,122.25046,3.98,0.5177
BRA,0.68052,0.354178,181671.76,0.73874,0.0175905324,5.68,0.35815199999999997,-4.81404,0.52,0.132544,130.22312,4.0,0.659
CAN,0.63222,0.27076049999999996,208046.66,0.615642,0.0064941214,5.58,0.169536,-6.93888,0.62,0.078418,126.72574,3.86,0.426084
CHE,0.65696,0.2950002,193961.2,0.6456820000000001,0.015362454599999999,4.58,0.17488,-6.63778,0.5,0.097298,121.99176,3.92,0.48734
CHL,0.77968,0.1995062,189484.8,0.7025,0.0018111739999999998,5.52,0.16136,-5.76208,0.46,0.10729000000000001,109.71626,3.98,0.63676
COL,0.7628199999999999,0.2619324,192171.94,0.6995399999999999,0.0004376428,5.0,0.176424,-5.10544,0.38,0.111814,119.221,3.9,0.6106199999999999
CRI,0.74232,0.2813044,191733.28,0.68938,0.0127473048,5.26,0.17599,-4.99918,0.5,0.143212,125.12158,3.92,0.536262
CZE,0.7125,0.2572598,171464.04,0.62842,0.0352123562,5.2,0.173418,-8.54898,0.38,0.15987,129.31182,3.92,0.4851
DEU,0.6957599999999999,0.22867639999999997,165052.94,0.6533199999999999,0.029947151800000002,5.04,0.143092,-7.3622000000000005,0.54,0.126914,124.10698000000001,3.94,0.476604
DNK,0.7084600000000001,0.207502,177847.24,0.67578,0.00010244739999999999,5.3,0.165462,-6.07514,0.48,0.144812,126.77046,3.86,0.59128
DOM,0.76664,0.3108124,194189.96,0.6738,0.026452580399999998,4.9,0.15088800000000002,-5.28736,0.46,0.18163800000000002,125.35828,3.98,0.509902
ECU,0.77924,0.2286724,191068.16,0.70272,0.020218941799999997,5.4,0.182356,-5.26992,0.42,0.10817,119.42476,3.92,0.60924
EGY,0.68572,0.35012,222573.22,0.67342,0.0077362685999999995,4.58,0.17997,-6.3355999999999995,0.22,0.077016,120.43678,4.0,0.61972
ESP,0.74748,0.291762,196037.78,0.6808799999999999,0.0003512894,5.34,0.17170200000000002,-5.4124,0.4,0.134064,124.24954,4.02,0.5768
EST,0.67636,0.20739439999999998,186404.98,0.668822,0.07029446219999999,5.34,0.19385200000000002,-6.99848,0.42,0.08842,119.5529,3.92,0.48126399999999997
FIN,0.7194400000000001,0.18921892199999998,177919.72,0.67026,0.026674618999999997,5.5,0.18053,-6.14126,0.42,0.08680199999999999,119.01629999999999,3.86,0.57845
FRA,0.69318,0.2902922,187250.76,0.66448,0.0102193134,5.44,0.142978,-6.44488,0.24,0.119366,121.02662000000001,3.86,0.5476380000000001
GBR,0.60598,0.26392576,206657.68,0.654542,0.014005007,4.68,0.17678999999999997,-6.69246,0.6,0.08253,122.8206,3.88,0.46376399999999995
GRC,0.73446,0.28787399999999996,166997.54,0.6657599999999999,0.0046185634,5.3,0.143132,-7.32948,0.4,0.13932,110.3659,3.94,0.51386
GTM,0.73744,0.2201084,190770.86,0.69556,0.020209902199999998,5.58,0.16698000000000002,-5.49048,0.54,0.091126,124.45157999999999,3.78,0.63452
Global,0.6575,0.28195035999999996,196977.84,0.631982,0.0126437292,4.94,0.17921600000000001,-6.66656,0.62,0.079844,115.73328,3.84,0.475284
HKG,0.6041,0.3069444,213974.78,0.6482399999999999,0.0001003974,5.84,0.144296,-6.361140000000001,0.7,0.074726,131.79041999999998,3.84,0.50062
HND,0.74554,0.2552812,200181.6,0.71024,0.0131064128,5.44,0.176952,-4.94014,0.5,0.12077,121.7501,3.9,0.561462
HUN,0.72624,0.316016,179787.46,0.6409,0.0124363588,5.32,0.138604,-7.29336,0.28,0.12795600000000001,115.30472,3.94,0.484376
IDN,0.53738,0.5093804,238514.26,0.53354,0.0331501574,5.26,0.153568,-7.8501,0.84,0.043488,118.73288000000001,3.84,0.41578000000000004
IND,0.6612600000000001,0.38187800000000005,214687.52,0.60844,0.015013167599999998,4.76,0.151716,-7.05674,0.62,0.065868,105.34110000000001,3.96,0.51266
IRL,0.59852,0.32386595999999995,208663.86,0.603982,0.0136005986,5.3,0.160904,-7.62244,0.6,0.068858,125.1591,3.86,0.45772399999999996
ISL,0.6665800000000001,0.455283,181206.76,0.47206200000000004,0.0082210116,5.6,0.15651199999999998,-9.17638,0.7,0.06663999999999999,120.02984000000001,3.76,0.5012340000000001
ISR,0.5753,0.477467,204843.26,0.50884,0.0014636968,4.8,0.21032,-8.46956,0.3,0.064374,121.75374,3.78,0.418842
ITA,0.70552,0.1715414,179342.14,0.7045,3.88422e-05,5.72,0.191188,-6.1484000000000005,0.6,0.15785,113.20436,3.96,0.52566
JPN,0.60476,0.138345694,232494.4,0.76776,0.00015743280000000002,5.3,0.202958,-4.8377,0.74,0.066986,128.35255999999998,3.96,0.63196
KAZ,0.73002,0.38521,183753.08,0.59278,0.0732151724,5.64,0.154614,-7.5621,0.42,0.147684,123.76155999999999,3.94,0.50707
KOR,0.62796,0.3100242,191958.42,0.62816,0.017083419,4.98,0.16811800000000002,-5.906319999999999,0.62,0.061146000000000006,111.82406,3.94,0.47932
LTU,0.70676,0.2157781506,186784.0,0.63562,0.0373739522,5.66,0.168996,-7.279160000000001,0.4,0.093294,117.19514,3.92,0.52734
LUX,0.6652564102564102,0.2757448717948718,191161.8205128205,0.6547974358974359,0.0024597243589743593,4.589743589743589,0.17374358974358975,-6.18974358974359,0.3333333333333333,0.10090769230769231,126.15197435897436,3.923076923076923,0.4969230769230769
LVA,0.6597,0.19945615060000002,198154.48,0.6587999999999999,0.0384331844,5.58,0.205174,-6.76,0.46,0.09226200000000001,116.2366,3.9,0.49479999999999996
MAR,0.6976600000000001,0.38928039999999997,196020.86,0.61998,0.003469509,6.7,0.138132,-7.905359999999999,0.2,0.167034,118.81551999999999,3.84,0.54948
MEX,0.7239,0.252844,186632.3,0.7027800000000001,0.0082566656,6.38,0.164488,-5.947620000000001,0.52,0.08218600000000001,130.4848,3.56,0.71974
MYS,0.6049,0.38540660000000004,210685.0,0.578902,0.010042412600000002,5.28,0.158424,-6.97598,0.76,0.063282,118.29824,3.88,0.44356
NGA,0.76862,0.23535060000000002,171479.62,0.69012,0.0114928198,5.34,0.169386,-6.955900000000001,0.52,0.131754,117.52690000000001,4.02,0.62883
NIC,0.75714,0.2349024,196797.94,0.6829000000000001,0.020120053000000002,5.26,0.16256,-5.294020000000001,0.48,0.11977,118.12304,3.86,0.5867
NLD,0.6572,0.22740436,185857.92,0.6646599999999999,0.015961924000000002,5.82,0.14734,-6.6599,0.46,0.089924,126.69337999999999,3.9,0.5230400000000001
NOR,0.6103999999999999,0.3049006,185661.46,0.5991420000000001,0.0290925894,5.6,0.22624,-7.264639999999999,0.44,0.088122,124.43092,3.82,0.47206
NZL,0.65334,0.2762506,203959.8,0.616922,0.011509810799999999,5.14,0.163568,-7.072140000000001,0.68,0.08311199999999999,123.31706,3.86,0.494664
PAK,0.7231399999999999,0.3754694,195794.06,0.58358,0.007478031599999999,4.82,0.14732599999999998,-7.77686,0.48,0.10296799999999999,107.51876,3.96,0.56236
PAN,0.7591,0.2630544,193737.72,0.6941200000000001,0.012741155799999999,4.9,0.162112,-5.1311800000000005,0.4,0.160474,118.45664000000001,4.04,0.556742
PER,0.7659199999999999,0.21638839999999998,197117.98,0.7165600000000001,0.014991269,5.18,0.173616,-4.97588,0.5,0.105544,117.40736000000001,3.96,0.6213799999999999
PHL,0.64224,0.35182696,219048.94,0.547462,0.0171740196,4.84,0.144482,-7.96302,0.66,0.058044000000000005,118.01482,3.86,0.428094
POL,0.6828400000000001,0.27308160000000004,185262.18,0.65736,0.0128969022,5.28,0.17711200000000002,-6.989439999999999,0.46,0.127842,118.90540000000001,3.9,0.52388
PRT,0.72518,0.430784,195911.24,0.58978,0.020376623,5.7,0.198502,-7.2034199999999995,0.36,0.174372,126.41346,3.96,0.515894
PRY,0.7139,0.2473338,190563.62,0.68582,0.0026241797999999998,5.8,0.204254,-5.27856,0.54,0.114168,123.24962,3.92,0.60872
ROU,0.76188,0.25159200000000004,166337.32,0.69146,0.007811538,5.88,0.16647800000000001,-6.0892,0.44,0.12354599999999999,128.52606,3.94,0.568902
SAU,0.62812,0.2897546,191780.82,0.6615800000000001,0.0735845824,5.24,0.145904,-6.61364,0.56,0.07603,117.18781999999999,3.94,0.49269999999999997
SGP,0.65888,0.25958996,193406.48,0.635602,0.006252774,5.4,0.148336,-6.48034,0.62,0.064028,116.57006,3.94,0.489964
SLV,0.7583199999999999,0.2323564,195711.06,0.69958,0.0201103982,5.38,0.184834,-5.21622,0.48,0.111874,120.36319999999999,3.92,0.57186
SVK,0.70052,0.25414159999999997,177667.42,0.6368,0.0375257068,5.44,0.165488,-7.30534,0.42,0.1593,125.13974,3.92,0.45153999999999994
SWE,0.61656,0.43979999999999997,180226.88,0.5165919999999999,0.053494855,4.92,0.16837600000000003,-8.43174,0.58,0.111028,120.30290000000001,3.78,0.45868000000000003
THA,0.63136,0.32717860000000004,216200.86,0.607,0.0093986892,5.62,0.172344,-6.68028,0.74,0.068896,125.37528,3.96,0.50884
TUR,0.6397200000000001,0.274538,179637.36,0.6638200000000001,0.007898268,6.42,0.197406,-7.578139999999999,0.2,0.115246,124.07078,4.0,0.51882
TWN,0.61234,0.32219099999999995,211419.04,0.62446,0.0001463314,5.8,0.16036799999999998,-6.4828600000000005,0.72,0.058781999999999994,121.68338,3.92,0.490632
UKR,0.72282,0.3071392,160182.7,0.64656,0.0654546448,6.06,0.160834,-7.03702,0.34,0.102336,119.89746,3.92,0.50018
URY,0.7419,0.22910740000000002,175821.46,0.65886,8.75988e-05,6.12,0.176286,-5.47912,0.62,0.107768,113.82868,3.92,0.664
USA,0.6389,0.2621693506,200089.46,0.6409600000000001,0.0141356658,5.42,0.185364,-6.8752200000000006,0.64,0.085518,126.79448000000001,3.84,0.449024
VEN,0.77776,0.2793224,196439.76,0.68402,0.012988923000000001,5.0,0.163518,-5.350600000000001,0.44,0.14343,122.1913,3.98,0.547942
VNM,0.7016800000000001,0.478746,198190.62,0.5255,0.023574399400000005,5.66,0.16660799999999998,-8.56554,0.64,0.087926,119.09294,3.88,0.51496
ZAF,0.71986,0.16386676,300221.42,0.560762,0.090792258,5.54,0.117858,-9.96274,0.58,0.09808,117.62174,3.94,0.4803
